Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Tuvalu,Baby Food,05/28/2010,669165933,H,Australia and Oceania,Offline,06/27/2010,1582243.5,2533654,9925
Grenada,Cereal,08/22/2012,963881480,C,Central America and the Caribbean,Online,09/15/2012,328376.44,576782.8,2804
Russia,Office Supplies,05/02/2014,341417157,L,Europe,Offline,05/08/2014,933903.84,1158502.59,1779
Sao Tome and Principe,Fruits,06/20/2014,514321792,C,Sub-Saharan Africa,Online,07/05/2014,56065.84,75591.66,8102
Rwanda,Office Supplies,02/01/2013,115456712,L,Sub-Saharan Africa,Offline,02/06/2013,2657347.52,3296425.02,5062
Solomon Islands,Baby Food,02/04/2015,547995746,C,Australia and Oceania,Online,02/21/2015,474115.08,759202.72,2974
Angola,Household,04/23/2011,135425221,M,India,Offline,04/27/2011,2104134.98,2798046.49,4187
Burkina Faso,,07/17/2012,871543967,H,Sub-Saharan Africa,Online,07/27/2012,734896.26,1245112.92,8082
Republic of the Congo,Personal Care,07/14/2015,770463311,M,Sub-Saharan Africa,Offline,08/25/2015,343986.9,496101.1,6070
Senegal,Cereal,04/18/2014,616607081,H,India,Online,05/30/2014,772106.23,1356180.1,6593
Kyrgyzstan,Vegetables,06/24/2011,814711606,H,Asia,Online,07/12/2011,11275.32,19103.44,124
Cape Verde,Clothes,08/02/2014,939825713,H,Sub-Saharan Africa,Offline,08/19/2014,149381.12,455479.04,4168
Bangladesh,Clothes,01/13/2017,187310731,L,Asia,Online,03/01/2017,296145.92,902980.64,8263
Honduras,Household,02/08/2017,522840487,H,Central America and the Caribbean,Offline,02/13/2017,4509793.96,5997054.98,8974
Mongolia,Personal Care,02/19/2014,832401311,C,Asia,Offline,02/23/2014,277739.67,400558.73,4901
Bulgaria,Clothes,04/23/2012,972292029,M,Europe,Online,06/03/2012,59960.32,182825.44,1673
Sri Lanka,Cosmetics,11/19/2016,419123971,M,Asia,Offline,12/18/2016,1830670.16,3039414.4,6952
Cameroon,Beverages,04/01/2015,519820964,C,Sub-Saharan Africa,Offline,04/18/2015,172619.7,257653.5,5430
Turkmenistan,Household,12/30/2010,441619336,L,Asia,Offline,01/20/2011,1924728.2,2559474.1,3830
East Timor,,07/31/2012,322067916,L,Australia and Oceania,Online,09/11/2012,2154588.52,2492526.12,5908
Norway,Baby Food,05/14/2014,819028031,L,Europe,Online,06/28/2014,1187679,1901836,7450
Portugal,Baby Food,07/31/2015,860673511,H,Europe,Online,09/03/2015,202941.66,324971.44,1273
Honduras,Snacks,06/30/2016,795490682,L,Central America and the Caribbean,Online,07/26/2016,216804,339490.5,2225
New Zealand,Fruits,09/08/2014,142278373,H,Australia and Oceania,Online,10/04/2014,15134.04,20404.71,2187
Moldova,Personal Care,05/07/2016,740147912,L,Europe,Online,05/10/2016,287316.9,414371.1,5070
France,Cosmetics,05/22/2017,898523128,H,Europe,Online,06/05/2017,477943.95,793518,1815
Kiribati,Fruits,10/13/2014,347140347,M,Australia and Oceania,Online,11/10/2014,37354.16,50363.34,5398
Mali,Fruits,05/07/2010,686048400,L,Sub-Saharan Africa,Online,05/10/2010,40288.24,54319.26,5822
Norway,Beverages,07/18/2014,435608613,C,Europe,Offline,07/30/2014,162891.96,243133.8,5124
The Gambia,Household,05/26/2012,886494815,L,Sub-Saharan Africa,Offline,06/09/2012,1191019.8,1583799.9,2370
Switzerland,Cosmetics,09/17/2012,249693334,M,Europe,Offline,10/20/2012,2280701.13,3786589.2,8661
South Sudan,Personal Care,12/29/2013,406502997,C,Sub-Saharan Africa,Offline,01/28/2014,120423.75,173676.25,2125
Australia,Office Supplies,10/27/2015,158535134,C,Australia and Oceania,Online,11/25/2015,1534983.04,1904138.04,2924
Myanmar,Household,01/16/2015,177713572,H,Asia,Offline,03/01/2015,4145955,5513227.5,8250
Djibouti,Snacks,02/25/2017,756274640,M,Sub-Saharan Africa,Online,02/25/2017,713942.88,1117953.66,7327
Costa Rica,Personal Care,05/08/2017,456767165,L,Central America and the Caribbean,Offline,05/21/2017,363198.03,523807.57,6409
Syria,Fruits,11/22/2011,162052476,L,Middle East and North Africa,Online,12/03/2011,26185.28,35304.72,3784
The Gambia,Meat,01/14/2017,825304400,M,Sub-Saharan Africa,Online,01/23/2017,1738477.23,2011149.63,4767
Brunei,Office Supplies,04/01/2012,320009267,L,Asia,Online,05/08/2012,3521431.68,4368316.68,6708
Bulgaria,Office Supplies,02/16/2012,189965903,M,Europe,Online,02/28/2012,2093015.52,2596374.27,3987
Niger,Personal Care,03/11/2017,699285638,H,Sub-Saharan Africa,Online,03/28/2017,170860.05,246415.95,3015
